	Gene Symbol	CD44+ N48	CD44+ N58	CD44+ N43	CD44+ N37	CD44+ N39	CD44+ N40	PseudoFC	P value	Gene description
440	ARL16	7.6724155	6.9075901	7.9384357	9.9178726	10.6976048	9.7571978	6.770062	7.24E-03	ADP-ribosylation factor-like 16
441	PRRT1	5.8606947	2.6483116	3.5326809	6.1308825	6.2913855	6.9545693	6.767883	2.96E-02	proline-rich transmembrane protein 1
442	C7orf43	5.6899296	6.9071059	6.0594234	8.6009017	8.817009	8.925371	6.762636	6.67E-03	chromosome 7 open reading frame 43
443	TBRG4	7.0023321	7.572241	8.7479293	10.7362127	10.846883	9.7561327	6.744917	1.13E-02	transforming growth factor beta regulator 4
444	SETDB1	3.9465722	4.6814038	5.6056204	7.4992075	7.4336841	6.8574893	6.737813	1.10E-02	"SET domain, bifurcated 1"
445	NAP1L4	9.5390259	8.4763739	10.7533993	11.9360314	12.6359648	12.2901422	6.732379	1.27E-02	nucleosome assembly protein 1-like 4
446	MMEL1	1.6483116	1.6483116	2.720938	4.7205988	5.4628293	3.9293281	6.689467	9.71E-03	membrane metallo-endopeptidase-like 1
447	REEP4	5.6436889	4.2060169	5.4516573	8.1911036	8.223621	7.6040116	6.67814	5.62E-03	receptor accessory protein 4
448	SCARF1	4.3775802	2.9702397	3.607483	5.7059352	6.34463	6.4143267	6.6608	9.84E-03	"scavenger receptor class F, member 1"
449	LOC100128640	2.6483116	3.3139683	3.8912477	6.0491728	5.6821191	6.2508667	6.658534	5.59E-03	No description
450	MMP17	2.9702397	3.6816603	5.1463052	6.7423333	6.1691332	6.4143267	6.64683	1.54E-02	matrix metallopeptidase 17 (membrane-inserted)
451	SNX8	5.6436889	6.1795599	7.333794	9.3681094	9.0737611	8.3754777	6.642788	1.21E-02	sorting nexin 8
452	FANCC	4.4824552	3.9209212	5.456924	6.6519824	7.8412093	8.1500049	6.639438	8.32E-03	"Fanconi anemia, complementation group C"
453	ATP6V0B	8.6636924	8.9975364	9.0779785	12.0683055	11.3601276	11.7273781	6.633828	2.45E-03	"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
454	HNRNPU	9.4622792	9.6728244	10.1733723	12.190828	12.604485	12.7756622	6.627886	3.21E-03	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
455	PIK3CG	1.6483116	1.6483116	1.6483116	4.3757263	4.420665	4.3757263	6.622678	6.64E-04	"phosphoinositide-3-kinase, catalytic, gamma polypeptide"
456	FADS6	1.6483116	1.6483116	1.8342345	4.3757263	4.529393	4.4931975	6.622678	9.32E-04	"fatty acid desaturase domain family, member 6"
457	ERP27	1.6483116	1.6483116	1.8342345	4.9305609	4.1737885	4.3757263	6.622678	2.48E-03	endoplasmic reticulum protein 27
458	SIRPB1	4.4230841	1.6483116	1.8342345	4.3757263	5.1197415	5.2889788	6.622678	3.32E-02	signal-regulatory protein beta 1
459	IQCE	5.453075	3.9514037	4.2192608	6.9432289	7.0483014	6.937318	6.606875	1.09E-02	IQ motif containing E
460	ADRB3	4.9718302	4.9864301	4.6646242	7.6953384	7.380396	7.7856916	6.604769	1.74E-03	"adrenergic, beta-3-, receptor"
461	CTRC	5.1091892	2.2332741	3.0075599	4.9526166	6.2184718	5.8108024	6.585726	3.69E-02	chymotrypsin C (caldecrin)
462	YIF1B	2.6483116	3.3370931	3.380907	5.9043639	6.2290207	5.3667233	6.581478	4.63E-03	Yip1 interacting factor homolog B (S. cerevisiae)
463	PYCR1	8.2290129	5.8854953	7.5349235	10.2493256	10.372862	8.8169884	6.563212	1.99E-02	pyrroline-5-carboxylate reductase 1
464	AHNAK2	5.3218258	3.7371269	3.9822605	5.4616785	6.7854861	8.0356914	6.560772	2.62E-02	AHNAK nucleoprotein 2
465	S100A13	0.6483116	0.6483116	1.718753	3.3505197	4.427996	4.3891292	6.539784	4.58E-03	S100 calcium binding protein A13
466	PRDX6	10.6971661	10.4426988	10.453581	13.7338471	12.8222697	13.1616555	6.534489	3.59E-03	peroxiredoxin 6
467	SNORA80B	0.6483116	2.358908	0.6483116	3.8705691	4.7277463	3.3505197	6.507972	1.20E-02	"small nucleolar RNA, H/ACA box 80B"
468	KRTAP2-4	0.6483116	0.6483116	0.6483116	2.201703	4.6015961	3.3505197	6.507972	1.23E-02	keratin associated protein 2-4
469	DUSP9	3.1936097	0.6483116	0.6483116	3.3505197	4.0427262	3.7727068	6.507972	3.24E-02	dual specificity phosphatase 9
470	KIAA0649	5.6436889	3.1432612	3.2312167	6.3837193	6.3857487	5.8422756	6.493581	3.18E-02	KIAA0649
471	TOM1	7.6602422	7.5485083	5.8749031	10.3580557	8.7114222	8.9772091	6.488178	2.43E-02	target of myb1 (chicken)
472	UGGT2	4.5647572	3.7516368	5.2879053	7.9850115	7.3530614	5.8023145	6.484998	1.94E-02	UDP-glucose glycoprotein glucosyltransferase 2
473	MAP3K7IP1	6.3679311	4.5432627	5.2003699	8.6109861	7.9673979	7.2393428	6.480388	1.43E-02	No description
474	YPEL1	4.2135782	4.9968355	5.0114705	7.0021312	7.7074269	7.3579365	6.479832	5.26E-03	yippee-like 1 (Drosophila)
475	NXNL2	3.618666	3.414981	4.2898328	6.6283678	6.1679364	6.3129789	6.472454	4.72E-03	nucleoredoxin-like 2
476	GSC	5.7806916	4.027184	5.7957394	8.4899488	7.1618771	8.1783064	6.47199	1.26E-02	goosecoid homeobox
477	CARS	8.2555352	7.4919854	8.3594078	11.0528452	10.9798086	9.3890597	6.468528	1.52E-02	cysteinyl-tRNA synthetase
478	KREMEN1	4.9160262	5.0521735	5.6214748	7.7344361	7.7455431	7.8865039	6.468224	3.49E-03	kringle containing transmembrane protein 1
479	WDR45	8.1949657	7.3047261	8.0122893	10.8838444	10.3703855	10.2775272	6.44812	4.67E-03	WD repeat domain 45
480	ZBTB7C	6.5465025	3.4747757	2.720938	5.4094332	7.0843477	7.6566878	6.446407	4.85E-02	zinc finger and BTB domain containing 7C
481	NEDD4	2.6483116	2.9076479	3.4045683	5.5987707	5.6821191	5.3360566	6.443055	4.15E-03	"neural precursor cell expressed, developmentally down-regulated 4"
482	DPH3B	1.6483116	1.8342345	1.6892959	4.3757263	4.8106556	4.104181	6.437187	2.64E-03	No description
483	HMOX2	8.5210582	6.8258005	8.2201702	10.9033306	11.025173	10.0984055	6.422613	8.70E-03	heme oxygenase (decycling) 2
484	C6orf145	10.2527733	9.975595	11.0765924	13.1849226	12.5806263	13.758189	6.415655	6.95E-03	chromosome 6 open reading frame 145
485	DNAJC8	7.8939991	7.7015221	8.7702997	10.9606846	10.5729407	10.5048827	6.403859	6.29E-03	"DnaJ (Hsp40) homolog, subfamily C, member 8"
486	B3GAT3	7.3116141	5.7694137	6.0567504	9.0211884	9.1830179	8.4483467	6.403821	1.13E-02	"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
487	STEAP1	6.2020682	5.1662874	5.7475236	9.8864443	8.4233222	7.7856916	6.389923	8.67E-03	six transmembrane epithelial antigen of the prostate 1
488	CYP27C1	5.2644722	4.4512383	5.1240048	7.8287893	7.6591643	7.7987173	6.385115	2.57E-03	"cytochrome P450, family 27, subfamily C, polypeptide 1"
489	LDLR	11.1453245	9.2375333	10.3426364	13.1385952	13.3512506	11.911425	6.381483	1.59E-02	low density lipoprotein receptor
490	MDK	9.4194689	6.5725705	7.9420385	9.392699	10.6151781	10.9152763	6.378157	3.18E-02	midkine (neurite growth-promoting factor 2)
491	THAP4	8.7367609	7.168255	7.9512604	10.6236686	10.7154973	10.0294104	6.374924	1.08E-02	THAP domain containing 4
492	COPS7B	3.4217357	2.9260582	3.4230614	6.1357722	4.6918492	6.0914809	6.363168	1.28E-02	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
493	REL	9.0440769	7.6955903	7.8643341	10.6298059	10.2544057	11.7135561	6.361995	1.11E-02	v-rel reticuloendotheliosis viral oncogene homolog (avian)
494	SNRNP25	5.5502708	2.7142554	3.6436123	6.3121094	6.6656904	6.0579337	6.357665	2.57E-02	small nuclear ribonucleoprotein 25kDa (U11/U12)
495	FST	9.6362102	8.9873082	10.0291447	12.6963067	12.4606957	10.7472725	6.351785	1.81E-02	follistatin
496	PLIN5	4.6198424	3.4015991	4.8160922	6.5089903	7.48276	6.8318813	6.349609	9.08E-03	perilipin 5
497	PCYOX1	7.1132604	4.7618043	4.2802215	7.8171255	7.4273865	7.3092124	6.344833	3.79E-02	prenylcysteine oxidase 1
498	SRRT	8.8009682	8.0697699	9.6002861	11.3438312	11.7555109	11.4644203	6.335472	7.07E-03	serrate RNA effector molecule homolog (Arabidopsis)
499	NUDT16	4.2644796	4.2795472	3.5740768	7.4038437	6.2342026	6.3875688	6.320882	7.27E-03	nudix (nucleoside diphosphate linked moiety X)-type motif 16
500	SLC13A3	2.6483116	3.5196418	2.744266	5.3848162	5.7332684	5.4002466	6.302746	5.35E-03	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
501	C4orf52	1.6483116	1.6483116	2.3071888	4.3757263	4.0174236	4.9613364	6.294744	5.92E-03	chromosome 4 open reading frame 52
502	DCPS	6.2324592	2.6246983	4.83864	7.8904586	7.4926853	6.634474	6.294297	2.46E-02	"decapping enzyme, scavenger"
503	S100A3	5.2641547	3.2469429	3.4230614	6.3077569	7.9149118	5.3980087	6.279968	2.53E-02	S100 calcium binding protein A3
504	FGFRL1	6.3497563	7.1417279	7.4029419	8.9998361	10.4855977	9.7415228	6.27702	7.80E-03	fibroblast growth factor receptor-like 1
505	RIPK1	8.0201924	6.1171236	6.060184	9.5357021	9.1626203	8.7102252	6.276852	1.85E-02	receptor (TNFRSF)-interacting serine-threonine kinase 1
506	CCR7	3.2332741	5.3060212	4.8351425	7.4847908	5.7676151	9.4086416	6.275143	2.07E-02	chemokine (C-C motif) receptor 7
507	C21orf2	8.2342176	4.69178	6.9945809	9.8774274	9.6435376	9.0535484	6.272135	2.03E-02	chromosome 21 open reading frame 2
508	DGKZ	5.9729499	5.4894404	5.9021058	7.8770319	8.550151	8.7658254	6.268174	4.77E-03	"diacylglycerol kinase, zeta"
509	GPR137	6.5704923	5.6103481	7.392407	9.6542812	9.2181434	9.1500313	6.266462	7.50E-03	G protein-coupled receptor 137
510	ACP1	6.061903	5.2389931	6.4706585	8.709446	9.3506518	7.4159955	6.265992	1.47E-02	"acid phosphatase 1, soluble"
511	NRBP1	8.6444416	8.7380086	8.5065603	11.8697273	11.290345	11.1379048	6.258875	2.23E-03	nuclear receptor binding protein 1
512	DAXX	9.1646658	7.9661454	9.0827453	11.4145708	11.8094674	11.4380765	6.254097	4.81E-03	death-domain associated protein
513	KAT5	5.9815351	5.8832957	3.6958112	8.6251737	7.2896646	6.904603	6.249057	2.69E-02	K(lysine) acetyltransferase 5
514	DNAH12	3.4217357	3.5567349	3.6448414	6.064861	6.3402902	6.0914809	6.246834	1.71E-03	"dynein, axonemal, heavy chain 12"
515	RPS6KB2	2.2332741	3.4345486	3.592016	5.3296567	6.2344299	5.0451794	6.243755	1.34E-02	"ribosomal protein S6 kinase, 70kDa, polypeptide 2"
516	POP4	3.618666	2.2332741	2.9871522	6.4707462	5.6263327	4.776787	6.229777	1.15E-02	"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)"
517	LXN	3.1936097	4.0214531	2.329319	6.1237721	5.4106265	5.8300725	6.218053	1.01E-02	latexin
518	SKA1	0.6483116	0.6483116	0.6483116	3.0806369	3.2836904	3.7727068	6.213382	2.29E-03	spindle and kinetochore associated complex subunit 1
519	CENPA	0.6483116	0.6483116	0.9989093	3.6615273	3.2836904	3.0432576	6.213382	3.58E-03	centromere protein A
520	KLRC3	0.6483116	0.6483116	1.718753	2.201703	3.2836904	5.4066346	6.213382	2.46E-02	"killer cell lectin-like receptor subfamily C, member 3"
521	RDBP	8.2384353	7.2449219	6.4193677	10.4922224	9.9894222	9.0543711	6.211766	1.51E-02	RD RNA binding protein
522	USF1	2.2332741	2.2332741	3.1179356	5.2528311	4.8177098	5.7519006	6.207296	5.31E-03	upstream transcription factor 1
523	FAM3A	6.3679311	6.7288253	7.8594478	10.3153262	9.3600335	9.2987826	6.195446	9.81E-03	"family with sequence similarity 3, member A"
524	SLC26A6	6.3679311	2.9912641	5.4506619	8.0815883	6.8510248	8.8346483	6.194236	2.12E-02	"solute carrier family 26, member 6"
525	RHOD	5.9081265	4.6738337	5.4242634	7.9988905	9.5069032	7.3034977	6.188818	1.07E-02	"ras homolog gene family, member D"
526	PCBD2	5.9981595	4.5641513	4.8837465	7.5125208	7.2780103	7.6952492	6.185003	1.19E-02	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
527	NONO	8.4441388	8.7109139	8.8534322	11.1531074	11.7742494	11.0726501	6.183876	3.44E-03	"non-POU domain containing, octamer-binding"
528	PROCA1	0.6483116	0.6483116	1.2453641	3.8705691	2.9866267	3.7727068	6.16972	4.69E-03	protein interacting with cyclin A1
529	KCNH3	4.1417523	3.0734264	4.1596026	6.0982494	6.952135	5.6961942	6.159306	1.19E-02	"potassium voltage-gated channel, subfamily H (eag-related), member 3"
530	WDR54	4.8167645	2.8004697	3.8434468	7.4366331	5.70127	5.7931214	6.146941	2.10E-02	WD repeat domain 54
531	ITGB5	11.4686298	9.746628	11.0112929	14.0882624	13.5894229	12.4578042	6.145935	1.43E-02	"integrin, beta 5"
532	BEGAIN	5.4821759	5.8152337	5.9090558	7.0744436	8.622691	8.4342505	6.143313	1.44E-02	brain-enriched guanylate kinase-associated homolog (rat)
533	WWTR1	9.0829041	7.6890572	8.7460922	10.0622739	11.3643297	12.3093382	6.139995	1.45E-02	WW domain containing transcription regulator 1
534	C15orf61	6.7564983	4.7342157	6.0556283	8.625763	8.7688139	8.6711048	6.128256	8.41E-03	chromosome 15 open reading frame 61
535	PTBP1	10.5470454	7.7409588	8.3851635	10.9971164	11.0931465	10.9945438	6.113306	3.55E-02	polypyrimidine tract binding protein 1
536	TMEM63A	5.1781122	4.3835516	4.9352998	7.7880852	7.5165664	7.4614759	6.104923	2.93E-03	transmembrane protein 63A
537	LOC442421	2.6483116	2.6483116	2.8222779	5.9291218	4.7130257	5.2550597	6.091291	5.91E-03	No description
538	MDM4	6.2563594	6.5447749	7.3070323	9.5348029	9.1497689	8.9666113	6.08389	6.87E-03	Mdm4 p53 binding protein homolog (mouse)
539	NCRNA00115	1.6483116	2.2335934	2.8939649	4.8301873	2.738957	6.1649935	6.048569	3.88E-02	non-protein coding RNA 115
540	ALKBH4	8.8557298	6.5744499	7.8264079	10.6101792	10.3585793	10.4228552	6.047955	1.19E-02	"alkB, alkylation repair homolog 4 (E. coli)"
541	FCGBP	2.2332741	2.2332741	4.2415729	5.1091892	3.6862881	6.8379648	6.047722	4.38E-02	Fc fragment of IgG binding protein
542	FZD5	6.2586678	6.1817333	7.0131021	8.0200072	8.8533905	9.644908	6.040729	1.46E-02	frizzled homolog 5 (Drosophila)
543	LOC100128675	2.6483116	2.7681763	3.9370926	5.7620494	5.2396991	5.7093175	6.02678	1.01E-02	No description
544	DDA1	9.2780266	8.660171	9.3338316	11.7365435	12.0150809	11.2508111	6.023659	5.17E-03	DET1 and DDB1 associated 1
545	AES	11.6729371	9.72789	10.8840521	13.3762123	13.4746785	13.4836364	6.023602	9.87E-03	amino-terminal enhancer of split
546	LAMP3	2.9702397	3.8018383	3.4707151	5.5608141	6.1718508	6.3775547	6.023385	5.41E-03	lysosomal-associated membrane protein 3
547	ST6GALNAC4	8.2041099	5.8887058	7.5132191	10.7927354	9.6356897	8.8857948	6.015253	2.16E-02	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4"
548	MRPL14	8.726121	8.1236576	7.2740333	10.7105921	11.1962287	10.5992424	6.008207	6.01E-03	mitochondrial ribosomal protein L14
549	MRPL48	5.8699723	3.2555437	4.3811029	7.2605484	6.9658593	6.005556	5.999143	3.04E-02	mitochondrial ribosomal protein L48
550	INPP5K	4.2135782	5.2960948	4.8749904	7.4518858	6.5945284	8.1520571	5.966543	1.06E-02	inositol polyphosphate-5-phosphatase K
551	PSMD1	8.2149382	8.9001054	9.4267185	12.3359955	11.4706148	10.7892285	5.955779	9.94E-03	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"
552	UCKL1	7.9485658	6.4143267	7.8046058	10.5227617	10.0762156	9.7205721	5.95539	8.68E-03	uridine-cytidine kinase 1-like 1
553	KRBA2	7.3939037	6.0752162	6.9528143	9.5069032	9.5263329	9.5458906	5.952594	5.36E-03	KRAB-A domain containing 2
554	C5orf56	2.2332741	2.3598456	2.2332741	4.8039082	4.7292946	5.3042708	5.940705	2.46E-03	chromosome 5 open reading frame 56
555	C2orf14	3.1936097	4.6466554	4.9904324	6.8113088	7.2151996	7.3795284	5.932105	7.82E-03	chromosome 2 open reading frame 14
556	MCM5	7.8761606	5.4662831	6.7167279	9.3955672	8.9315367	9.2839582	5.926705	1.66E-02	minichromosome maintenance complex component 5
557	C12orf10	8.3138654	7.7296713	7.6490021	10.8786644	10.3001975	10.1947863	5.916726	5.08E-03	chromosome 12 open reading frame 10
558	TTC32	5.1044441	3.9342834	4.2503808	7.2617821	6.5787424	6.815138	5.916554	8.76E-03	tetratricopeptide repeat domain 32
559	WDR43	7.8975476	8.0072846	7.7820975	9.8623855	10.9674956	10.4614069	5.912873	5.87E-03	WD repeat domain 43
560	DMXL1	5.9197494	4.7702164	4.8985203	8.3142323	7.3331795	7.4738025	5.909201	1.01E-02	Dmx-like 1
561	APOA1	4.6466554	2.59287	3.1430375	4.7484251	6.6656904	7.209098	5.90707	2.01E-02	apolipoprotein A-I
562	PDE4C	4.3487513	4.3867046	4.5802046	6.9490173	6.3436797	7.2610019	5.906538	6.21E-03	"phosphodiesterase 4C, cAMP-specific"
563	MZF1	5.5521481	5.5552246	6.3380927	8.1124101	8.32066	8.1476226	5.898148	6.34E-03	myeloid zinc finger 1
564	PI4K2A	9.6425453	9.6331582	10.6926681	12.1130042	12.542871	13.2506164	5.888696	8.15E-03	phosphatidylinositol 4-kinase type 2 alpha
565	CHST9	2.2332741	2.3909783	2.5696382	4.8039082	5.1261118	4.9075633	5.88268	2.47E-03	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9
566	SNRPA	8.8418145	7.4934777	8.7413768	11.397063	10.5363811	10.9375134	5.877687	9.32E-03	small nuclear ribonucleoprotein polypeptide A
567	SHROOM1	5.8492255	3.9817982	4.9525164	7.5768631	7.500533	6.7454038	5.848297	1.67E-02	shroom family member 1
568	RBM39	9.438073	10.0309029	9.5134236	12.1129441	11.1920837	12.5779048	5.844185	1.26E-02	RNA binding motif protein 39
569	FAM55C	7.3041372	5.5946462	5.0412806	7.9493809	8.1403723	8.5753445	5.839019	2.41E-02	"family with sequence similarity 55, member C"
570	SOX5	5.1687181	2.2332741	2.6066428	5.6961942	4.776787	7.3894181	5.830069	3.29E-02	SRY (sex determining region Y)-box 5
571	CDKN2A	7.0010262	5.0745436	5.5232151	8.8138172	7.7694868	8.0656603	5.825756	1.88E-02	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
572	KCNRG	1.6483116	1.6483116	1.8342345	4.3757263	3.804795	4.3757263	5.821907	3.99E-03	potassium channel regulator
573	GIT1	6.2898057	4.1173378	5.6366783	8.0340827	8.1778334	8.2332066	5.820548	1.03E-02	G protein-coupled receptor kinase interacting ArfGAP 1
574	SESN1	7.2031028	6.3459391	5.5369402	9.3241868	8.0767856	9.3519861	5.815267	1.39E-02	sestrin 1
575	LRRC4B	5.4523941	2.2335934	4.0973155	7.4455126	5.0598665	6.634474	5.804446	3.83E-02	leucine rich repeat containing 4B
576	BAIAP2L1	7.3615252	6.084007	7.1069029	8.6211167	11.2656579	8.6957968	5.80425	2.14E-02	BAI1-associated protein 2-like 1
577	HTR7P	4.1417523	2.7017984	4.4174271	6.952135	6.65394	6.2925942	5.794595	7.37E-03	No description
578	MRPL12	7.6931237	7.3197088	7.2009696	10.1598044	10.2278013	8.572491	5.794474	1.76E-02	mitochondrial ribosomal protein L12
579	MAST2	8.2318167	7.217438	9.0540255	10.1862859	10.3989666	11.5869994	5.787635	1.53E-02	microtubule associated serine/threonine kinase 2
580	TGFB2	7.2605862	7.3561409	7.4141179	7.7976399	9.8885177	10.3209556	5.78524	3.89E-02	"transforming growth factor, beta 2"
581	PHB2	11.1223497	9.6773359	11.602047	13.6528474	13.7215133	13.2408171	5.77771	9.91E-03	prohibitin 2
582	CHMP1A	9.0561055	8.1994556	8.9034562	11.5039703	11.4314548	10.8070643	5.76771	6.33E-03	chromatin modifying protein 1A
583	ST20	0.6483116	0.6483116	1.2453641	2.7142554	3.2836904	3.7727068	5.765088	8.43E-03	suppressor of tumorigenicity 20
584	CNTFR	6.7132477	3.5098259	4.8890582	7.4162752	6.8510248	7.9037171	5.764586	3.24E-02	ciliary neurotrophic factor receptor
585	WFIKKN1	2.2332741	3.0734264	2.9323185	3.9808219	5.4578255	6.2344299	5.757757	1.75E-02	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
586	INSL3	1.6483116	1.6483116	1.9775059	4.0174236	4.1737885	5.512379	5.757637	6.36E-03	insulin-like 3 (Leydig cell)
587	ZNF845	1.6483116	1.6483116	2.0644524	5.2723041	4.1737885	3.5567349	5.757637	1.07E-02	zinc finger protein 845
588	CD79A	1.6483116	1.6483116	2.121431	3.5567349	4.1737885	5.2889788	5.757637	1.11E-02	"CD79a molecule, immunoglobulin-associated alpha"
589	LOC100170939	3.4217357	1.6483116	1.8342345	4.7205988	4.1737885	4.6918492	5.757637	1.93E-02	No description
590	TULP2	4.0076061	1.6483116	1.6892959	5.1960783	4.1737885	6.3938176	5.757637	2.02E-02	tubby like protein 2
591	NXF1	10.8520285	10.0336204	10.7669643	12.478502	13.2914126	13.5821017	5.753534	7.73E-03	nuclear RNA export factor 1
592	MIIP	6.4182565	4.6999349	3.9041452	7.2203068	7.6126933	7.1715789	5.7373	2.36E-02	migration and invasion inhibitory protein
593	PLAU	10.1991876	8.3967577	8.9277466	12.7190194	11.9862226	10.2472027	5.735152	2.50E-02	"plasminogen activator, urokinase"
594	CST7	6.4896927	6.654695	4.7339044	7.9949998	7.265333	9.1739542	5.732876	3.18E-02	cystatin F (leukocystatin)
595	NEURL2	5.2641547	2.7761817	3.0769443	5.5022972	5.5912356	7.1399326	5.713169	3.03E-02	neuralized homolog 2 (Drosophila)
596	PARD6A	1.6483116	1.6483116	1.6892959	4.1543752	3.2469429	4.4931975	5.68068	1.04E-02	par-6 partitioning defective 6 homolog alpha (C. elegans)
597	SULT2B1	1.6483116	1.6483116	1.6892959	4.1543752	7.199987	2.7522541	5.68068	2.47E-02	"sulfotransferase family, cytosolic, 2B, member 1"
598	CNTN4	4.4230841	1.6483116	1.9775059	4.1543752	4.9454937	6.2605336	5.68068	3.38E-02	contactin 4
599	FGF5	5.1732567	4.4918942	5.3101836	7.4552692	7.0393971	7.8161105	5.680142	7.33E-03	fibroblast growth factor 5
600	PPP1R3F	6.7138159	5.1542115	5.7028252	8.8817544	7.8423672	8.2086637	5.679794	1.30E-02	"protein phosphatase 1, regulatory (inhibitor) subunit 3F"
601	ZNF274	6.3402902	5.6281037	6.3116389	9.1287639	8.7688139	8.1315865	5.670527	6.38E-03	zinc finger protein 274
602	DPY19L2P2	4.6572712	2.8137431	2.7776489	5.6099971	5.5610862	5.278963	5.662009	2.62E-02	dpy-19-like 2 pseudogene 2 (C. elegans)
603	SHISA4	6.3981189	4.1742737	4.6305983	7.3563051	6.6747389	7.1871789	5.658679	3.34E-02	shisa homolog 4 (Xenopus laevis)
604	PEX16	6.102894	6.0513589	6.6952742	9.1953639	8.6966214	7.8363676	5.657206	1.27E-02	peroxisomal biogenesis factor 16
605	LRP3	9.5745641	6.8413378	7.1928211	10.136606	9.34128	10.000926	5.656628	4.96E-02	low density lipoprotein receptor-related protein 3
606	PRPSAP2	7.5679246	5.8645919	5.2215592	9.9153577	7.7207404	8.8667647	5.653645	2.29E-02	phosphoribosyl pyrophosphate synthetase-associated protein 2
607	ANKMY1	4.0076061	3.0590313	3.544175	6.6189273	6.0403287	4.3757263	5.641793	2.83E-02	ankyrin repeat and MYND domain containing 1
608	RNF26	6.9123426	5.7510989	6.8101829	9.4076814	9.0181353	8.8225003	5.638607	7.22E-03	ring finger protein 26
609	HIVEP3	6.9872078	6.7668688	7.0620058	7.9203085	9.4822723	9.9632088	5.637535	2.23E-02	human immunodeficiency virus type I enhancer binding protein 3
610	OBSCN	6.2088379	5.3640151	6.5211792	7.3611498	8.7004088	9.0291137	5.6239	1.76E-02	"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"
611	CNTD2	6.2266814	3.6958112	5.3101836	6.1308825	7.8010628	9.1690336	5.621204	3.04E-02	cyclin N-terminal domain containing 2
612	SQLE	3.618666	3.5888859	3.9024126	6.5777512	5.8793295	6.1094615	5.620878	4.42E-03	squalene epoxidase
613	TECR	9.3997404	7.7446882	8.2523941	10.7396687	10.8829258	10.7119677	5.607177	1.40E-02	"trans-2,3-enoyl-CoA reductase"
614	OVGP1	3.4217357	2.8939649	2.6007523	4.0174236	5.9028868	5.7699474	5.583428	2.12E-02	"oviductal glycoprotein 1, 120kDa"
615	DDTL	2.2332741	3.8702007	5.0644522	6.2974501	7.1989863	6.3490058	5.574356	1.45E-02	D-dopachrome tautomerase-like
616	TIE1	7.9770178	2.6483116	5.8095208	8.7670277	8.0274558	8.2876532	5.571757	3.98E-02	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
617	C1orf84	4.8167645	2.6485511	4.5258359	7.0035212	6.4914886	7.0541495	5.570031	1.09E-02	chromosome 1 open reading frame 84
618	POU2F2	3.8182366	5.2848614	4.7937952	7.3659335	5.3818265	7.7622585	5.568918	3.23E-02	POU class 2 homeobox 2
619	TMEM53	6.1887517	4.1104418	6.6206262	8.6659662	8.9234509	8.4599654	5.568213	1.03E-02	transmembrane protein 53
620	KCNK6	3.2332741	3.7136629	3.9237725	5.7084509	5.8158699	6.4992345	5.560354	7.63E-03	"potassium channel, subfamily K, member 6"
621	GFM1	5.8990919	5.8361421	5.4653188	8.3084566	8.4860066	7.3085596	5.549333	1.09E-02	"G elongation factor, mitochondrial 1"
622	SLC23A2	6.426501	5.127052	5.2383419	7.7106201	7.9351484	7.6023444	5.549194	1.51E-02	"solute carrier family 23 (nucleobase transporters), member 2"
623	GTF2IRD1	5.9452976	6.0467879	6.952135	8.608138	9.024111	8.4161273	5.543625	9.10E-03	GTF2I repeat domain containing 1
624	HN1L	8.5148906	7.9204447	8.5432728	10.3893895	11.1334897	10.662385	5.536387	6.86E-03	hematological and neurological expressed 1-like
625	NHEJ1	6.1354234	5.5756172	6.5196093	8.6041046	8.6732584	8.5798332	5.535376	4.78E-03	nonhomologous end-joining factor 1
626	ACOT7	8.5024734	5.8238011	8.0615509	9.5587853	10.6020525	10.5297858	5.533663	1.73E-02	acyl-CoA thioesterase 7
627	USP54	5.2345997	4.674795	5.5610993	7.702338	7.7629923	7.2562051	5.531759	6.83E-03	ubiquitin specific peptidase 54
628	TNFRSF6B	6.3402902	4.1737885	6.1015486	8.5684726	8.7109588	7.4843271	5.528638	1.53E-02	"tumor necrosis factor receptor superfamily, member 6b, decoy"
629	FUT5	4.1417523	2.7017984	2.8224902	5.1667895	5.4578255	6.2897297	5.521235	1.44E-02	"fucosyltransferase 5 (alpha (1,3) fucosyltransferase)"
630	AVPI1	6.0355485	4.4773665	4.8326516	7.2962883	7.1215114	7.8577328	5.516054	1.50E-02	arginine vasopressin-induced 1
